,,,,,
,,,,,
,Search by,    Job,Workcenter,,
,,,,,
,,JOB,FUTURE WC,HRS REMAINING,END
,,205019,FAB,0.25,5/13/2024
,,205019,INSPECT,0.1,5/15/2024
,,205019,PEEN,0.1,5/15/2024
,,205026,FAB,0.83,6/6/2024
,,205026,INSPECT,0.25,6/7/2024
,,205026,LASER,0.17,6/5/2024
,,205026,INSPECT,0.15,6/10/2024
,,205032,INSPECT,0.4,5/13/2024
,,205033,HMC6800,58.5,5/24/2024
,,205033,INSPECT,0.5,5/28/2024
,,205033,PRGRM MACH,0.5,5/7/2024
,,205033,INSPECT,0.25,5/6/2024
,,205034,FAB,41.3,5/15/2024
,,205034,PAINT,5,5/17/2024
,,205034,INSPECT,0,5/20/2024
,,205045,BBE,0,5/30/2024
,,205045,SHIP,0,5/30/2024
,,205046,405FAB,0,5/29/2024
,,205046,FAB,0,5/24/2024
,,205046,MATLHAND,0,5/30/2024
,,205046,PAINT,0,5/29/2024
,,205047,405UBT,0,5/30/2024
,,205048,405SHIP,0,5/30/2024
,,205049,BBE,0,5/30/2024
,,205053,MACH,1.5,5/22/2024
,,205053,INSPECT,0.1,5/23/2024
,,205053,405SHIP,0,5/27/2024
,,205055,MAZAK300C,3.2,5/7/2024
,,205055,TURNING,1.45,5/3/2024
,,205055,PRGRM MACH,0.3,5/6/2024
,,205055,INSPECT,0.2,5/7/2024
,,205055,405INSPECT,0,5/13/2024
,,205056,405TRANSFR,0,5/3/2024
,,205059,405TRANSFR,0,5/3/2024
,,205060,405TRANSFR,0,5/3/2024
,,205065,ROTOBLAST,0.25,5/6/2024
,,205065,BURN,0.2,5/6/2024
,,205065,SHIP,0,5/7/2024
,,205066,FAB,2.5,5/15/2024
,,205066,INSPECT,0.2,5/16/2024
,,205066,TRANSFER,0.1,5/16/2024
,,205067,ENG-DESIGN,0,5/30/2024
,,205070,INSPECT,0.13,5/13/2024
,,205070,FORM,0.1,5/10/2024
,,205071,INSPECT,0.13,5/13/2024
,,205071,FORM,0.1,5/10/2024
,,205072,INSPECT,0.13,5/13/2024
,,205072,FORM,0.1,5/10/2024
,,205073,INSPECT,0.13,5/13/2024
,,205073,FORM,0.1,5/10/2024
,,205074,FORM,0.33,5/10/2024
,,205074,INSPECT,0.25,5/13/2024
,,205075,INSPECT,0.08,5/13/2024
,,205078,INSPECT,0.25,5/17/2024
,,205078,SHIP,0,5/20/2024
,,205080,SHIP,0,5/15/2024
,,205105,PEEN,0.3,6/13/2024
,,205105,SAW,0.25,5/29/2024
,,205105,INSPECT,0.2,6/14/2024
,,205105,INSPECT,0.1,5/30/2024
,,205106,PEEN,0.5,6/13/2024
,,205106,SAW,0.4,5/29/2024
,,205106,INSPECT,0.2,6/14/2024
,,205106,INSPECT,0.1,5/29/2024
,,205108,PAINT,8.1,5/16/2024
,,205108,FAB,6.3,5/13/2024
,,205110,FAB,3.67,5/13/2024
,,205110,PAINT,0.8,5/16/2024
,,205110,INSPECT,0.13,5/15/2024
,,205111,FAB,58.66,5/20/2024
,,205111,HMC6800,8.47,5/28/2024
,,205111,PAINT,7.88,5/31/2024
,,205111,ROTOBLAST,0.88,5/30/2024
,,205111,PRGRM MACH,0.5,5/21/2024
,,205111,INSPECT,0.26,5/29/2024
,,205114,FAB,54.2,5/21/2024
,,205114,HMC6800,15.6,5/30/2024
,,205114,PAINT,8.75,6/5/2024
,,205114,ROTOBLAST,0.87,6/3/2024
,,205114,PRGRM MACH,0.3,5/23/2024
,,205114,INSPECT,0.25,5/31/2024
,,205114,INSPECT,0,5/22/2024
,,205116,PAINT,3.5,5/16/2024
,,205116,FAB,2.27,5/13/2024
,,205116,INSPECT,0,5/14/2024
,,205117,FAB,7.8,5/13/2024
,,205117,PAINT,2.33,5/16/2024
,,205117,INSPECT,0,5/14/2024
,,205118,FAB,1.73,5/9/2024
,,205118,FAB,0.75,5/13/2024
,,205118,INSPECT,0.05,5/14/2024
,,205119,FAB,0.5,5/13/2024
,,205119,FAB,0.5,5/15/2024
,,205119,SAW,0.5,5/13/2024
,,205119,SHIP,0,5/16/2024
,,205120,405ASSY,16,5/29/2024
,,205120,405SHIP,0,5/30/2024
,,205121,PEEN,0.3,6/13/2024
,,205121,SAW,0.3,5/29/2024
,,205121,INSPECT,0.2,6/14/2024
,,205121,INSPECT,0.1,5/30/2024
,,205122,PEEN,0.3,6/13/2024
,,205122,SAW,0.25,6/12/2024
,,205122,INSPECT,0.15,6/14/2024
,,205122,INSPECT,0.1,6/12/2024
,,205125,405SHIP,0.2,5/13/2024
,,205126,405SHIP,0.2,5/13/2024
,,205131,SAW,0.33,5/8/2024
,,205133,VERMACH,6.75,5/15/2024
,,205133,405TRANSFR,0,5/16/2024
,,205135,FAB,0.5,5/9/2024
,,205135,MACH,0.22,5/13/2024
,,205138,INSPECT,0.23,5/16/2024
,,205138,405TRANSFR,0,5/16/2024
,,205139,MAZAK300C,6,5/15/2024
,,205139,INSPECT,0.15,5/16/2024
,,205139,405TRANSFR,0,5/16/2024
,,205143,MACH,3.02,5/16/2024
,,205143,INSPECT,0.1,5/17/2024
,,205143,405TRANSFR,0,5/17/2024
,,205143,PRGRM MACH,0,5/15/2024
,,205144,405TRANSFR,0,5/16/2024
,,205145,ASSEMBLE,40,5/16/2024
,,205151,FAB,0.75,5/7/2024
,,205151,INSPECT,0.05,5/8/2024
,,205151,405SHIP,0,5/20/2024
,,205152,FAB,0.58,5/7/2024
,,205152,INSPECT,0.1,5/9/2024
,,205152,405SHIP,0,5/20/2024
,,205153,MAZAK300C,2.26,5/9/2024
,,205153,BURN,0.33,5/7/2024
,,205153,PRGRM MACH,0.3,5/7/2024
,,205153,ROTOBLAST,0.17,5/7/2024
,,205153,INSPECT,0.15,5/9/2024
,,205156,BURN,0,5/9/2024
,,205158,FAB,10.84,5/13/2024
,,205158,PAINT,1.75,5/16/2024
,,205158,ROTOBLAST,0.87,5/15/2024
,,205158,INSPECT,0.25,5/14/2024
,,205161,INSPECT,0.25,5/23/2024
,,205162,SHIP,0,5/7/2024
,,205163,INSPECT,0,5/7/2024
,,205164,MAZAK450,2.65,5/22/2024
,,205164,405PAINT,1.33,5/24/2024
,,205164,PRGRM MACH,0.2,5/7/2024
,,205164,ROTOBLAST,0.2,5/8/2024
,,205164,INSPECT,0.1,5/23/2024
,,205164,405ASSY,0,5/23/2024
,,205165,405ASSY,0,5/28/2024
,,205165,405SHIP,0,5/30/2024
,,205166,HMC6800,2.43,5/8/2024
,,205166,INSPECT,1.5,5/9/2024
,,205167,405PAINT,1,5/22/2024
,,205167,MAZAK250,1,5/20/2024
,,205167,INSPECT,0.06,5/21/2024
,,205167,405ASSY,0,5/23/2024
,,205167,405TRANSFR,0,5/24/2024
,,205168,405ASSY,4,6/18/2024
,,205168,405PAINT,4,6/20/2024
,,205168,405SHIP,0,6/21/2024
,,205170,ENGINEER,500,5/7/2024
,,205173,CONTROLS,41,5/17/2024
,,205182,MATLHAND,0.02,5/8/2024
,,205183,MAZAK250,1.67,5/13/2024
,,205183,405ASSY,0.17,5/23/2024
,,205183,INSPECT,0.15,5/14/2024
,,205183,PEEN,0.15,5/14/2024
,,205183,SAW,0.15,5/10/2024
,,205183,405TRANSFR,0,5/23/2024
,,205183,SHIP,0,5/15/2024
,,205184,MAZAK450,3.33,5/6/2024
,,205184,405ASSY,0.33,5/23/2024
,,205184,PEEN,0.3,5/14/2024
,,205184,SAW,0.3,5/3/2024
,,205184,INSPECT,0.1,5/14/2024
,,205184,405TRANSFR,0,5/23/2024
,,205184,SHIP,0,5/22/2024
,,190540-97ENG,CONTROLENG,19.5,2/5/2024
,,190540-97ENG,CONTROLPRG,8.28,2/1/2024
,,190540-97ENG,CONTROLENG,0,2/1/2024
,,190540-97ENG,CONTROLENG,0,2/1/2024
,,200569-95,ENG-DESIGN,0,-
,,200889-95,ENG-DESIGN,0,-
,,201055-95,ENG-DESIGN,0,-
,,201099-95,ENG-DESIGN,0,-
,,201703-95,ENG-DESIGN,0,-
,,201758-95,ENG-CHECK,0,4/24/2024
,,201758-95,ENG-DESIGN,0,4/24/2024
,,201758-95,ENG-DETAIL,0,4/24/2024
,,201858-95,ENG-DESIGN,0,-
,,202339-95,ENG-DESIGN,0,-
,,202340-95,ENG-DESIGN,0,-
,,203138-95,ENG-DESIGN,0,-
,,203139-95,ENG-DESIGN,0,-
,,203140-95,ENG-DESIGN,0,-
,,203142-95,ENG-DESIGN,0,-
,,203143-95,ENG-DESIGN,0,-
,,203144-95,ENG-DESIGN,0,-
,,203145-95,ENG-DESIGN,0,-
,,203146-95,ENG-DESIGN,0,-
,,203147-95,ENG-DESIGN,0,-
,,203148-95,ENG-DESIGN,0,-
,,203149-95,ENG-DESIGN,0,-
,,203150-95,ENG-DESIGN,0,-
,,203244-95,ENG-DESIGN,0,-
,,203246-95,ENG-DESIGN,0,-
,,203628-95,ENG-DESIGN,0,-
,,203638-17,SHIP,0,5/2/2024
,,203638-19,SHIP,0,5/2/2024
,,203639-95,ENG-DESIGN,0,-
,,203641-95,ENG-DESIGN,0,-
,,203943-95,ENG-DESIGN,0,5/3/2024
,,204020-95,ENGINEER,0,-
,,204020-95,FAB,0,-
,,204169-95,ENG-APPROV,0,-
,,204169-95,ENG-CHECK,0,-
,,204169-95,ENG-DESIGN,0,-
,,204169-95,ENG-DETAIL,0,-
,,204255-01,SHIP,0,3/19/2024
,,204255-05,SHIP,0,3/19/2024
,,204255-06,SHIP,0,3/19/2024
,,204255-07,SHIP,0,3/19/2024
,,204255-08,SHIP,0,3/19/2024
,,204255-09,SHIP,0,5/3/2024
,,204255-09,SHIP,0,5/7/2024
,,204255-10,SHIP,0,5/7/2024
,,204310-01,PAINT,4,5/3/2024
,,204333-95,ENG-DESIGN,0,-
,,204339-95,ENG-DESIGN,0,-
,,204343-95,ENG-DESIGN,0,-
,,204345-95,ENG-DESIGN,0,-
,,204396-95,ENG-DESIGN,0,5/9/2024
,,204397-95,ENGINEER,0,-
,,204440-01,PRGRM CUT,0.1,-
,,204440-01,LASER,0.07,-
,,204537-95,PROCESSENG,0,-
,,204590-01,MACH,4.08,4/24/2024
,,204590-01,INSPECT,0.25,4/25/2024
,,204590SER,PAINT,3.58,5/3/2024
,,204590SER,INSPECT,0,5/6/2024
,,204607-95,ENG-DETAIL,0,5/3/2024
,,204630-95,ENG-DESIGN,0,-
,,204632-95,ENG-DESIGN,0,5/3/2024
,,204633-95,ENG-DESIGN,0,5/1/2024
,,204634-01,FORM,0.65,5/3/2024
,,204634-07,FORM,0.5,5/3/2024
,,204634-95,ENG-DESIGN,0,5/3/2024
,,204637-06,FORM,2,5/3/2024
,,204637-08,FORM,0.25,5/3/2024
,,204637-09,FORM,0.25,5/3/2024
,,204637-10,FORM,0.5,5/3/2024
,,204637-10,INSPECT,0,5/6/2024
,,204637-11,FORM,0.5,5/3/2024
,,204637-11,INSPECT,0,5/6/2024
,,204637-15,FORM,0.2,5/10/2024
,,204637-17,FAB,0.3,5/9/2024
,,204637-17,INSPECT,0.1,5/10/2024
,,204637-17,SHIP,0,5/13/2024
,,204637-18,INSPECT,0.05,5/3/2024
,,204637-19,FAB,0.27,5/9/2024
,,204637-19,INSPECT,0.05,5/10/2024
,,204637-19,SHIP,0,5/13/2024
,,204637-22,FORM,0.25,5/3/2024
,,204637-22,INSPECT,0,5/6/2024
,,204637-23,FORM,0.12,5/3/2024
,,204637-23,INSPECT,0,5/6/2024
,,204637-24,FORM,0.17,5/3/2024
,,204637-24,INSPECT,0,5/6/2024
,,204637-25,FORM,0.19,5/3/2024
,,204637-25,INSPECT,0.1,5/6/2024
,,204637-26,FORM,0.19,5/3/2024
,,204637-26,INSPECT,0.1,5/6/2024
,,204637-29,FORM,0.25,5/17/2024
,,204637-31,FORM,0.48,5/17/2024
,,204637-33,FORM,0.25,5/17/2024
,,204637-34,FORM,0.13,5/17/2024
,,204637-35,FAB,1.95,5/9/2024
,,204637-35,INSPECT,0.05,5/10/2024
,,204637-35B,FORM,0.5,5/3/2024
,,204637-36,FAB,0.68,5/9/2024
,,204637-36,INSPECT,0.05,5/10/2024
,,204637-36B,FORM,0.25,5/3/2024
,,204637-37,FAB,0.26,5/14/2024
,,204637-37,INSPECT,0.05,5/15/2024
,,204637-95,ENG-DESIGN,0,5/17/2024
,,204639-95,ENG-DESIGN,0,-
,,204639-95,ENG-DETAIL,0,-
,,204640-95,ENG-DESIGN,0,-
,,204673-12,INSPECT,0.05,4/24/2024
,,204673-13,INSPECT,0.1,4/24/2024
,,204674-11,INSPECT,0.05,4/16/2024
,,204674-12,INSPECT,0.1,4/16/2024
,,204675-11,INSPECT,0.05,5/3/2024
,,204749-07,FORM,0.5,4/30/2024
,,204749-12,INSPECT,0.05,4/30/2024
,,204749-13,FAB,0.38,4/29/2024
,,204749-13,INSPECT,0.1,4/30/2024
,,204765-01,SHIP,0,5/3/2024
,,204765-01A,INSPECT,0.1,4/15/2024
,,204765-01B,INSPECT,0.1,4/18/2024
,,204765-01C,INSPECT,0.1,4/16/2024
,,204765-02,SHIP,0,5/3/2024
,,204765-02D,INSPECT,0.05,4/10/2024
,,204765-03,INSPECT,0.1,5/3/2024
,,204765-03,SHIP,0,5/3/2024
,,204765-05,405UBT,0.17,5/3/2024
,,204771-95,ENG-DESIGN,0,4/24/2024
,,204772-01,FORM,1,5/14/2024
,,204772-01,PRGRM CUT,0.1,5/10/2024
,,204772-01,LASER,0.03,5/13/2024
,,204772-02,PRGRM CUT,0.1,5/13/2024
,,204772-02,LASER,0.02,5/14/2024
,,204772-03,PRGRM CUT,0.1,5/13/2024
,,204772-03,LASER,0.04,5/14/2024
,,204772-04,PRGRM CUT,0.1,5/13/2024
,,204772-04,LASER,0.02,5/14/2024
,,204772-05,PRGRM CUT,0.1,5/13/2024
,,204772-05,LASER,0.04,5/14/2024
,,204772-06,PRGRM CUT,0.1,5/13/2024
,,204772-06,LASER,0.02,5/14/2024
,,204772-07,FORM,2,5/14/2024
,,204772-07,PRGRM CUT,0.1,5/10/2024
,,204772-07,LASER,0.04,5/13/2024
,,204772-08,LASER,0.02,5/14/2024
,,204772-09,FORM,0.25,5/14/2024
,,204772-09,LASER,0.03,5/13/2024
,,204772-10,FORM,0.25,5/14/2024
,,204772-10,LASER,0.03,5/13/2024
,,204772-11,FORM,0.25,5/8/2024
,,204772-11,PRGRM CUT,0.1,5/7/2024
,,204772-11,LASER,0.01,5/8/2024
,,204772-11,INSPECT,0,5/9/2024
,,204772-12,FORM,0.25,5/8/2024
,,204772-12,PRGRM CUT,0.1,5/7/2024
,,204772-12,LASER,0.01,5/8/2024
,,204772-12,INSPECT,0,5/9/2024
,,204772-13,PRGRM CUT,0.1,5/15/2024
,,204772-13,LASER,0.07,5/16/2024
,,204772-14,PRGRM CUT,0.1,5/15/2024
,,204772-14,LASER,0.07,5/16/2024
,,204772-15,LASER,0.01,5/16/2024
,,204772-16,PRGRM CUT,0.1,5/15/2024
,,204772-16,LASER,0.04,5/16/2024
,,204772-17,FORM,0.25,5/15/2024
,,204772-17,PRGRM CUT,0.1,5/14/2024
,,204772-17,LASER,0.02,5/15/2024
